color,lat,lon
#e6194B,-33.47774987999999,-70.60731112
#e6194B,-33.54977143,-70.64463024
#e6194B,-33.47388038999999,-70.57697679
#e6194B,-33.43412811999999,-70.73019633
#e6194B,-33.52135358,-70.65553564
#e6194B,-33.42441804,-70.61430273
#e6194B,-33.4267667,-70.71392242
#e6194B,-33.44761407,-70.65796231
#e6194B,-33.43227444,-70.68794874
#e6194B,-33.47377344,-70.54952088
#e6194B,-33.41036924,-70.66255379
#e6194B,-33.44704549,-70.66787974
#e6194B,-33.56178941999999,-70.57382892
#e6194B,-33.46017922,-70.5807979
#e6194B,-33.47107314,-70.72022276
#e6194B,-33.42875576,-70.76487576
#e6194B,-33.49048136999999,-70.76841575
#e6194B,-33.50233313999999,-70.68227832
#e6194B,-33.35796100999999,-70.72128708
#e6194B,-33.49040741999999,-70.65607108
#3cb44b,-33.47774987999999,-70.60731112
#3cb44b,-33.54977143,-70.64463024
#3cb44b,-33.47388038999999,-70.57697679
#3cb44b,-33.4267667,-70.71392242
#3cb44b,-33.44761407,-70.65796231
#3cb44b,-33.52135358,-70.65553564
#3cb44b,-33.43412811999999,-70.73019633
#3cb44b,-33.42441804,-70.61430273
#3cb44b,-33.43227444,-70.68794874
#3cb44b,-33.49048136999999,-70.76841575
#3cb44b,-33.56178941999999,-70.57382892
#3cb44b,-33.42875576,-70.76487576
#3cb44b,-33.44704549,-70.66787974
#3cb44b,-33.47377344,-70.54952088
#3cb44b,-33.50233313999999,-70.68227832
#3cb44b,-33.46017922,-70.5807979
#3cb44b,-33.48876640999999,-70.66537197
#3cb44b,-33.47107314,-70.72022276
#3cb44b,-33.49040741999999,-70.65607108
#3cb44b,-33.41036924,-70.66255379
#ffe119,-33.47774987999999,-70.60731112
#ffe119,-33.54977143,-70.64463024
#ffe119,-33.47388038999999,-70.57697679
#ffe119,-33.42441804,-70.61430273
#ffe119,-33.4267667,-70.71392242
#ffe119,-33.43412811999999,-70.73019633
#ffe119,-33.44761407,-70.65796231
#ffe119,-33.56178941999999,-70.57382892
#ffe119,-33.52135358,-70.65553564
#ffe119,-33.43227444,-70.68794874
#ffe119,-33.44704549,-70.66787974
#ffe119,-33.41036924,-70.66255379
#ffe119,-33.46017922,-70.5807979
#ffe119,-33.42875576,-70.76487576
#ffe119,-33.45951912,-70.53472447
#ffe119,-33.49048136999999,-70.76841575
#ffe119,-33.49040741999999,-70.65607108
#ffe119,-33.35796100999999,-70.72128708
#ffe119,-33.47377344,-70.54952088
#ffe119,-33.5051494,-70.60778092
#4363d8,-33.47774987999999,-70.60731112
#4363d8,-33.54977143,-70.64463024
#4363d8,-33.47388038999999,-70.57697679
#4363d8,-33.42441804,-70.61430273
#4363d8,-33.42875576,-70.76487576
#4363d8,-33.43412811999999,-70.73019633
#4363d8,-33.52135358,-70.65553564
#4363d8,-33.4267667,-70.71392242
#4363d8,-33.43227444,-70.68794874
#4363d8,-33.56178941999999,-70.57382892
#4363d8,-33.46017922,-70.5807979
#4363d8,-33.47377344,-70.54952088
#4363d8,-33.41036924,-70.66255379
#4363d8,-33.49048136999999,-70.76841575
#4363d8,-33.49040741999999,-70.65607108
#4363d8,-33.44761407,-70.65796231
#4363d8,-33.45951912,-70.53472447
#4363d8,-33.35796100999999,-70.72128708
#4363d8,-33.50233313999999,-70.68227832
#4363d8,-33.48876640999999,-70.66537197
#f58231,-33.47774987999999,-70.60731112
#f58231,-33.47388038999999,-70.57697679
#f58231,-33.54977143,-70.64463024
#f58231,-33.43412811999999,-70.73019633
#f58231,-33.52135358,-70.65553564
#f58231,-33.42441804,-70.61430273
#f58231,-33.43227444,-70.68794874
#f58231,-33.4267667,-70.71392242
#f58231,-33.47377344,-70.54952088
#f58231,-33.49040741999999,-70.65607108
#f58231,-33.42875576,-70.76487576
#f58231,-33.44761407,-70.65796231
#f58231,-33.56178941999999,-70.57382892
#f58231,-33.50233313999999,-70.68227832
#f58231,-33.46017922,-70.5807979
#f58231,-33.41036924,-70.66255379
#f58231,-33.44395416999999,-70.72220958
#f58231,-33.47107314,-70.72022276
#f58231,-33.35796100999999,-70.72128708
#f58231,-33.49048136999999,-70.76841575
#911eb4,-33.47774987999999,-70.60731112
#911eb4,-33.54977143,-70.64463024
#911eb4,-33.47388038999999,-70.57697679
#911eb4,-33.43412811999999,-70.73019633
#911eb4,-33.52135358,-70.65553564
#911eb4,-33.4267667,-70.71392242
#911eb4,-33.44761407,-70.65796231
#911eb4,-33.42441804,-70.61430273
#911eb4,-33.49048136999999,-70.76841575
#911eb4,-33.43227444,-70.68794874
#911eb4,-33.56178941999999,-70.57382892
#911eb4,-33.41036924,-70.66255379
#911eb4,-33.42875576,-70.76487576
#911eb4,-33.47377344,-70.54952088
#911eb4,-33.44704549,-70.66787974
#911eb4,-33.46017922,-70.5807979
#911eb4,-33.47107314,-70.72022276
#911eb4,-33.49040741999999,-70.65607108
#911eb4,-33.35796100999999,-70.72128708
#911eb4,-33.5051494,-70.60778092
#42d4f4,-33.47774987999999,-70.60731112
#42d4f4,-33.54977143,-70.64463024
#42d4f4,-33.47388038999999,-70.57697679
#42d4f4,-33.42441804,-70.61430273
#42d4f4,-33.4267667,-70.71392242
#42d4f4,-33.44761407,-70.65796231
#42d4f4,-33.43412811999999,-70.73019633
#42d4f4,-33.52135358,-70.65553564
#42d4f4,-33.46017922,-70.5807979
#42d4f4,-33.42875576,-70.76487576
#42d4f4,-33.41036924,-70.66255379
#42d4f4,-33.49048136999999,-70.76841575
#42d4f4,-33.43227444,-70.68794874
#42d4f4,-33.56178941999999,-70.57382892
#42d4f4,-33.49040741999999,-70.65607108
#42d4f4,-33.47377344,-70.54952088
#42d4f4,-33.45951912,-70.53472447
#42d4f4,-33.50233313999999,-70.68227832
#42d4f4,-33.35796100999999,-70.72128708
#42d4f4,-33.5051494,-70.60778092
#f032e6,-33.47774987999999,-70.60731112
#f032e6,-33.54977143,-70.64463024
#f032e6,-33.47388038999999,-70.57697679
#f032e6,-33.43412811999999,-70.73019633
#f032e6,-33.52135358,-70.65553564
#f032e6,-33.42441804,-70.61430273
#f032e6,-33.56178941999999,-70.57382892
#f032e6,-33.4267667,-70.71392242
#f032e6,-33.44761407,-70.65796231
#f032e6,-33.49048136999999,-70.76841575
#f032e6,-33.41036924,-70.66255379
#f032e6,-33.44704549,-70.66787974
#f032e6,-33.42875576,-70.76487576
#f032e6,-33.46017922,-70.5807979
#f032e6,-33.49040741999999,-70.65607108
#f032e6,-33.43227444,-70.68794874
#f032e6,-33.45951912,-70.53472447
#f032e6,-33.47377344,-70.54952088
#f032e6,-33.5051494,-70.60778092
#f032e6,-33.35796100999999,-70.72128708
#bfef45,-33.47774987999999,-70.60731112
#bfef45,-33.54977143,-70.64463024
#bfef45,-33.47388038999999,-70.57697679
#bfef45,-33.42441804,-70.61430273
#bfef45,-33.4267667,-70.71392242
#bfef45,-33.43412811999999,-70.73019633
#bfef45,-33.43227444,-70.68794874
#bfef45,-33.44761407,-70.65796231
#bfef45,-33.46017922,-70.5807979
#bfef45,-33.52135358,-70.65553564
#bfef45,-33.41036924,-70.66255379
#bfef45,-33.42875576,-70.76487576
#bfef45,-33.56178941999999,-70.57382892
#bfef45,-33.49040741999999,-70.65607108
#bfef45,-33.47377344,-70.54952088
#bfef45,-33.50233313999999,-70.68227832
#bfef45,-33.45951912,-70.53472447
#bfef45,-33.49048136999999,-70.76841575
#bfef45,-33.35796100999999,-70.72128708
#bfef45,-33.44704549,-70.66787974
#fabed4,-33.47774987999999,-70.60731112
#fabed4,-33.54977143,-70.64463024
#fabed4,-33.47388038999999,-70.57697679
#fabed4,-33.43412811999999,-70.73019633
#fabed4,-33.52135358,-70.65553564
#fabed4,-33.4267667,-70.71392242
#fabed4,-33.44761407,-70.65796231
#fabed4,-33.43227444,-70.68794874
#fabed4,-33.44704549,-70.66787974
#fabed4,-33.56178941999999,-70.57382892
#fabed4,-33.42875576,-70.76487576
#fabed4,-33.42441804,-70.61430273
#fabed4,-33.47377344,-70.54952088
#fabed4,-33.47107314,-70.72022276
#fabed4,-33.50233313999999,-70.68227832
#fabed4,-33.41036924,-70.66255379
#fabed4,-33.49040741999999,-70.65607108
#fabed4,-33.49048136999999,-70.76841575
#fabed4,-33.35796100999999,-70.72128708
#fabed4,-33.46017922,-70.5807979
